make,model,model_variant,color,carType,city,drive,manufacture_month,manufacture_year,mileage,mileage_unit,type,price_on_request,zip,country,currency,fuel_consumption_unit,condition
Jaguar,XJ,JAGUAR XJR 4.0 Supercharged,White,Limousine,Zuzwil,Hinterradantrieb,1,1996,99900.0,Km,car,"",null,null,null,null,null
Mercedes,ML 500,MERCEDES-BENZ ML 500 4Matic,White,SUV / Geländewagen,Zuzwil,Allrad,12,2005,37500.0,Km,car,"",null,null,null,null,null
Other,"",DeLorean De Lorean DMC-12,White,Coupé,Zuzwil,Hinterradantrieb,4,1981,15000.0,Km,car,"",null,null,null,null,null
Porsche,PANAMERA,PORSCHE Panamera Turbo 4.8,White,Limousine,Zuzwil,Allrad,9,2009,30300.0,Km,car,"",null,null,null,null,null
Autobianchi,A112,AUTOBIANCHI A112 Abarth Serie II,White,Kleinwagen,Zuzwil,Vorderradantrieb,6,1974,9999.0,Km,car,"",null,null,null,null,null
Alfa Romeo,SPIDER,ALFA ROMEO SPIDER 1300 Junior,White,Cabriolet,Zuzwil,Hinterradantrieb,3,1970,106000.0,Km,car,"",null,null,null,null,null
VW,PHAETON,VW Phaeton 6.0 W12 4Motion,Blue,Limousine,Zuzwil,Allrad,1,2003,37800.0,Km,car,"",null,null,null,null,null
Chevrolet,Silverado,CHEVROLET Silverado 2500HD 6.6l V8,White,Pick-up,Zuzwil,Hinterradantrieb,2,2007,34500.0,Km,car,"",null,null,null,null,null
Mercedes,CL 600,MERCEDES-BENZ CL 600,White,Coupé,Zuzwil,Hinterradantrieb,1,2001,73400.0,Km,car,"",null,null,null,null,null
Bentley,ARNAGE,BENTLEY ARNAGE Red Label,White,Limousine,Zuzwil,Hinterradantrieb,10,2000,85700.0,Km,car,"",null,null,null,null,null
Mercedes,CL 600,MERCEDES-BENZ CL 600,White,Coupé,Zuzwil,Hinterradantrieb,9,2003,12200.0,Km,car,"",null,null,null,null,null
Renault,ALPINE,RENAULT Alpine V6 Turbo,White,Coupé,Zuzwil,Hinterradantrieb,4,1988,98600.0,Km,car,"",null,null,null,null,null
Mercedes,CLS 500,MERCEDES-BENZ CLS 500,White,Kombi,Zuzwil,Hinterradantrieb,5,2013,10400.0,Km,car,"",null,null,null,null,null
Mercedes,CLS 63 AMG,MERCEDES-BENZ CLS 63 AMG,White,Limousine,Zuzwil,Hinterradantrieb,9,2007,15800.0,Km,car,"",null,null,null,null,null
Hummer,H3,HUMMER H3 3.7 Adventure,White,SUV / Geländewagen,Zuzwil,Allrad,11,2008,150.0,Km,car,"",null,null,null,null,null
Rolls-Royce,PHANTOM,ROLLS-ROYCE Phantom 6.7 V12,White,Limousine,Zuzwil,Hinterradantrieb,11,2004,54000.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Turbo,White,Coupé,Zuzwil,Allrad,2,2008,73500.0,Km,car,"",null,null,null,null,null
Ford,EXPLORER,FORD (USA) Explorer 4.0 Ltd. Edition,Blue,SUV / Geländewagen,Zuzwil,Allrad,9,1999,50100.0,Km,car,"",null,null,null,null,null
Renault,Alpine A110,RENAULT Alpine A110 1300 VC Gordini,White,Coupé,Zuzwil,Hinterradantrieb,3,1971,31800.0,Km,car,"",null,null,null,null,null
Porsche,911,PORSCHE 911 Turbo,White,Coupé,Zuzwil,Allrad,10,2001,30100.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant 5.0 V10 quattro,White,Kombi,Zuzwil,Allrad,1,2010,15000.0,Km,car,"",null,null,null,null,null
Bentley,CONTINENTAL,BENTLEY Continental GT 6.0,White,Coupé,Zuzwil,Allrad,7,2004,79700.0,Km,car,"",null,null,null,null,null
Ferrari,575M,FERRARI 575M,White,Coupé,Zuzwil,Hinterradantrieb,4,2003,39000.0,Km,car,"",null,null,null,null,null
Mercedes,SL 500,MERCEDES-BENZ SL 500,White,Cabriolet,Zuzwil,Hinterradantrieb,1,1991,197800.0,Km,car,"",null,null,null,null,null
Mazda,MX-5,MAZDA MX-5 1.8i 16V Confort,White,Cabriolet,Zuzwil,Hinterradantrieb,3,2007,6900.0,Km,car,"",null,null,null,null,null
Audi,RS6,AUDI RS6 Avant 5.0 V10 quattro,White,Kombi,Zuzwil,Allrad,1,2009,31500.0,Km,car,"",null,null,null,null,null
Peugeot,205,PEUGEOT 205 Turbo 16V,White,Coupé,Zuzwil,Allrad,11,1984,58950.0,Km,car,"",null,null,null,null,null
Audi,A8,AUDI A8 4.2 quattro,White,Limousine,Zuzwil,Allrad,3,1996,143700.0,Km,car,"",null,null,null,null,null
Mercedes,500,MERCEDES-BENZ 500 SE,Blue,Limousine,Zuzwil,Hinterradantrieb,8,1991,91600.0,Km,car,"",null,null,null,null,null
BMW,320,BMW 320d xDrive M-Sportpaket,White,Limousine,Zuzwil,Allrad,2,2009,110600.0,Km,car,"",null,null,null,null,null
BMW,728,BMW 728i,White,Limousine,Zuzwil,Hinterradantrieb,11,1998,34400.0,Km,car,"",null,null,null,null,null
Jaguar,XJ 220,JAGUAR XJ 220,White,Coupé,Zuzwil,null,5,1996,25000.0,Km,car,"",null,null,null,null,null
Porsche,CAYENNE,PORSCHE Cayenne S,White,SUV / Geländewagen,Zuzwil,Allrad,6,2012,1000.0,Km,car,"",null,null,null,null,null
Rolls-Royce,PHANTOM,ROLLS-ROYCE Phantom 6.7 V12,White,Limousine,Zuzwil,Hinterradantrieb,1,2004,56000.0,Km,car,"",null,null,null,null,null
Bentley,CONTINENTAL,BENTLEY Continental FlyingSpur6.0,White,Limousine,Zuzwil,Allrad,1,2006,43000.0,Km,car,"",null,null,null,null,null
Mercedes,CLS 63 AMG,MERCEDES-BENZ CLS 63 AMG,White,Limousine,Zuzwil,Hinterradantrieb,8,2010,37500.0,Km,car,"",null,null,null,null,null
Renault,ESPACE,RENAULT Espace 2.0 T Privilège,White,Kompaktvan / Minivan,Zuzwil,Vorderradantrieb,3,2004,145000.0,Km,car,"",null,null,null,null,null
Jaguar,XK,JAGUAR XKR S/C,White,Coupé,Zuzwil,Hinterradantrieb,11,1999,103000.0,Km,car,"",null,null,null,null,null
Mini,MINI,MINI MINI 1000,White,Limousine,Safenwil,Vorderradantrieb,7,1976,44300.0,Km,car,"",null,null,null,null,null
Mercedes,ML 500,MERCEDES-BENZ ML 500,Blue,SUV / Geländewagen,Zuzwil,Allrad,1,2002,20800.0,Km,car,"",null,null,null,null,null
McLaren,12C,McLAREN MP4-12C Cabriolet 3.8 V8,White,Cabriolet,Zuzwil,Hinterradantrieb,3,2013,12000.0,Km,car,"",null,null,null,null,null
Mercedes,SL 320,MERCEDES-BENZ SL 320,White,Cabriolet,Zuzwil,Hinterradantrieb,2,1997,70600.0,Km,car,"",null,null,null,null,null
